Lat,Lon,State_Ab,County
36.603501,-79.376228,VA,DANVILLE CITY
37.332725,-81.160066,WV,MERCER
37.603344,-81.53998,WV,WYOMING
37.411086,-81.539352,WV,MCDOWELL
37.743063,-82.10801,WV,MINGO
37.844155,-80.538781,WV,GREENBRIER
38.387966,-79.990585,WV,POCAHONTAS
37.552029,-80.539672,WV,MONROE
37.674782,-80.890043,WV,SUMMERS
38.041293,-81.064784,WV,FAYETTE
38.243675,-81.771226,WV,KANAWHA
37.784459,-81.118491,WV,RALEIGH
38.591037,-81.273681,WV,ROANE
37.997105,-81.71704,WV,BOONE
38.508559,-81.841002,WV,PUTNAM
38.465777,-81.050662,WV,CLAY
37.833204,-81.902401,WV,LOGAN
38.254945,-81.217588,WV,NICHOLAS
38.752312,-81.997278,WV,MASON
38.824924,-81.70665,WV,JACKSON
38.828582,-81.132151,WV,CALHOUN
38.913649,-80.831256,WV,GILMER
39.444061,-77.951924,WV,BERKELEY
39.315914,-77.877223,WV,JEFFERSON
39.552557,-78.18773,WV,MORGAN
39.314071,-78.659428,WV,HAMPSHIRE
38.167112,-81.968862,WV,LINCOLN
38.379347,-82.264954,WV,CABELL
38.384557,-82.557785,WV,WAYNE
40.102703,-80.647599,WV,OHIO
40.225862,-80.65135,WV,BROOKE
39.955349,-80.710507,WV,MARSHALL
40.556137,-80.565784,WV,HANCOCK
39.286315,-81.55477,WV,WOOD
39.375025,-81.263875,WV,PLEASANTS
39.450612,-80.870081,WV,TYLER
39.040511,-81.371951,WV,WIRT
39.198501,-81.068913,WV,RITCHIE
39.611459,-80.817928,WV,WETZEL
38.975479,-80.240664,WV,UPSHUR
38.522709,-80.607651,WV,WEBSTER
38.89487,-79.850148,WV,RANDOLPH
39.125078,-80.017982,WV,BARBOUR
39.130056,-79.468329,WV,TUCKER
39.287434,-80.341883,WV,HARRISON
39.09078,-80.470734,WV,LEWIS
39.270846,-80.719742,WV,DODDRIDGE
38.777546,-80.656974,WV,BRAXTON
39.345364,-80.04977,WV,TAYLOR
39.48274,-79.836968,WV,PRESTON
39.609911,-79.983141,WV,MONONGALIA
39.494115,-80.221282,WV,MARION
38.986974,-79.146211,WV,GRANT
39.443055,-78.964749,WV,MINERAL
38.999518,-78.821226,WV,HARDY
38.684692,-79.353564,WV,PENDLETON
35.945381,-80.448686,NC,DAVIE
36.385903,-80.589507,NC,SURRY
36.213266,-80.084667,NC,FORSYTH
36.21397,-80.690386,NC,YADKIN
35.755719,-80.681056,NC,ROWAN
36.446831,-80.220095,NC,STOKES
36.348831,-79.894851,NC,ROCKINGHAM
36.031836,-79.485643,NC,ALAMANCE
35.708376,-79.85213,NC,RANDOLPH
35.608354,-79.372362,NC,CHATHAM
35.365836,-79.943839,NC,MONTGOMERY
36.466412,-79.275549,NC,CASWELL
36.193624,-79.674079,NC,GUILFORD
36.181138,-79.164741,NC,ORANGE
35.467567,-79.165314,NC,LEE
35.608108,-80.144554,NC,DAVIDSON
35.326471,-79.548614,NC,MOORE
36.493537,-79.060407,NC,PERSON
35.478164,-78.729411,NC,HARNETT
35.748012,-78.834012,NC,WAKE
36.09206,-78.885147,NC,DURHAM
35.40709,-78.402967,NC,JOHNSTON
36.451463,-78.566691,NC,GRANVILLE
35.982555,-78.208581,NC,FRANKLIN
35.368277,-78.092871,NC,WAYNE
36.38698,-78.396213,NC,VANCE
36.507009,-77.997521,NC,WARREN
35.949051,-77.641181,NC,EDGECOMBE
35.902088,-77.874947,NC,NASH
36.169398,-77.097225,NC,BERTIE
35.373666,-76.861978,NC,BEAUFORT
35.584685,-77.513357,NC,PITT
35.616471,-77.935161,NC,WILSON
36.491011,-77.031055,NC,HERTFORD
36.450554,-77.452452,NC,NORTHAMPTON
36.279884,-77.723443,NC,HALIFAX
35.325223,-76.028472,NC,HYDE
35.866711,-77.084958,NC,MARTIN
35.609289,-77.713073,NC,GREENE
36.285388,-76.213284,NC,PASQUOTANK
35.776474,-75.635823,NC,DARE
36.307995,-75.918814,NC,CURRITUCK
36.257499,-76.544379,NC,PERQUIMANS
36.389961,-76.199736,NC,CAMDEN
35.936934,-76.203339,NC,TYRRELL
36.520104,-76.59285,NC,GATES
35.829692,-76.567703,NC,WASHINGTON
36.135621,-76.580107,NC,CHOWAN
35.319817,-80.253448,NC,STANLY
35.365255,-81.087967,NC,GASTON
35.021874,-80.085232,NC,ANSON
35.719228,-80.89909,NC,IREDELL
35.254876,-81.691402,NC,CLEVELAND
35.440832,-81.789415,NC,RUTHERFORD
35.371633,-80.562141,NC,CABARRUS
35.473286,-80.872585,NC,MECKLENBURG
35.435922,-81.33848,NC,LINCOLN
35.115644,-80.597878,NC,UNION
,,NC,
35.053416,-78.781027,NC,CUMBERLAND
35.066726,-78.590479,NC,SAMPSON
34.595364,-79.197058,NC,ROBESON
34.621027,-78.725506,NC,BLADEN
35.141931,-78.099221,NC,DUPLIN
34.974434,-79.79851,NC,RICHMOND
34.795061,-79.577405,NC,SCOTLAND
35.02363,-79.246841,NC,HOKE
34.163503,-77.95481,NC,NEW HANOVER
33.926255,-78.07127,NC,BRUNSWICK
34.510936,-78.094517,NC,PENDER
34.275295,-78.350029,NC,COLUMBUS
34.527983,-77.514707,NC,ONSLOW
35.220079,-77.615508,NC,LENOIR
35.156145,-76.632264,NC,PAMLICO
34.873922,-76.587097,NC,CARTERET
35.129461,-77.01996,NC,CRAVEN
35.005079,-77.523102,NC,JONES
35.758221,-81.308224,NC,CATAWBA
36.072025,-81.910144,NC,AVERY
36.163862,-81.714505,NC,WATAUGA
36.122485,-81.23358,NC,WILKES
35.994554,-81.726617,NC,CALDWELL
35.689483,-81.538697,NC,BURKE
36.464673,-81.596886,NC,ASHE
