group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
31,"BEARINGS, PLAIN, UNMOUNTED",3120,5,Industrial Products & Services,5.1,Machinery & Components
31,"BEARINGS, MOUNTED",3130,5,Industrial Products & Services,5.1,Machinery & Components
32,SAWMILL AND PLANING MILL MACHINERY,3210,5,Industrial Products & Services,5.1,Machinery & Components
32,WOODWORKING MACHINES,3220,5,Industrial Products & Services,5.1,Machinery & Components
32,TOOLS AND ATTACHMENTS FOR WOODWORKING MACHINERY,3230,5,Industrial Products & Services,5.1,Machinery & Components
34,SAWS AND FILING MACHINES,3405,5,Industrial Products & Services,5.1,Machinery & Components
34,MACHINING CENTERS AND WAY-TYPE MACHINES,3408,5,Industrial Products & Services,5.1,Machinery & Components
34,ELECTRICAL AND ULTRASONIC EROSION MACHINES,3410,5,Industrial Products & Services,5.1,Machinery & Components
34,BORING MACHINES,3411,5,Industrial Products & Services,5.1,Machinery & Components
34,BROACHING MACHINES,3412,5,Industrial Products & Services,5.1,Machinery & Components
34,DRILLING AND TAPPING MACHINES,3413,5,Industrial Products & Services,5.1,Machinery & Components
34,GEAR CUTTING AND FINISHING MACHINES,3414,5,Industrial Products & Services,5.1,Machinery & Components
34,GRINDING MACHINES,3415,5,Industrial Products & Services,5.1,Machinery & Components
34,LATHES,3416,5,Industrial Products & Services,5.1,Machinery & Components
34,MILLING MACHINES,3417,5,Industrial Products & Services,5.1,Machinery & Components
34,PLANERS AND SHAPERS,3418,5,Industrial Products & Services,5.1,Machinery & Components
34,MISCELLANEOUS MACHINE TOOLS,3419,5,Industrial Products & Services,5.1,Machinery & Components
34,ROLLING MILLS AND DRAWING MACHINES,3422,5,Industrial Products & Services,5.1,Machinery & Components
34,METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT,3424,5,Industrial Products & Services,5.1,Machinery & Components
34,METAL FINISHING EQUIPMENT,3426,5,Industrial Products & Services,5.1,Machinery & Components
34,ELECTRIC ARC WELDING EQUIPMENT,3431,5,Industrial Products & Services,5.1,Machinery & Components
34,ELECTRIC RESISTANCE WELDING EQUIPMENT,3432,5,Industrial Products & Services,5.1,Machinery & Components
34,"GAS WELDING, HEAT CUTTING, AND METALIZING EQUIPMENT",3433,5,Industrial Products & Services,5.1,Machinery & Components
34,WELDING POSITIONERS AND MANIPULATORS,3436,5,Industrial Products & Services,5.1,Machinery & Components
34,MISCELLANEOUS WELDING EQUIPMENT,3438,5,Industrial Products & Services,5.1,Machinery & Components
34,"MISCELLANEOUS WELDING, SOLDERING, AND BRAZING SUPPLIES AND ACCESSORIES",3439,5,Industrial Products & Services,5.1,Machinery & Components
34,BENDING AND FORMING MACHINES,3441,5,Industrial Products & Services,5.1,Machinery & Components
34,"HYDRAULIC AND PNEUMATIC PRESSES, POWER DRIVEN",3442,5,Industrial Products & Services,5.1,Machinery & Components
34,"MECHANICAL PRESSES, POWER DRIVEN",3443,5,Industrial Products & Services,5.1,Machinery & Components
34,MANUAL PRESSES,3444,5,Industrial Products & Services,5.1,Machinery & Components
34,PUNCHING AND SHEARING MACHINES,3445,5,Industrial Products & Services,5.1,Machinery & Components
34,FORGING MACHINERY AND HAMMERS,3446,5,Industrial Products & Services,5.1,Machinery & Components
34,WIRE AND METAL RIBBON FORMING MACHINES,3447,5,Industrial Products & Services,5.1,Machinery & Components
34,RIVETING MACHINES,3448,5,Industrial Products & Services,5.1,Machinery & Components
34,MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES,3449,5,Industrial Products & Services,5.1,Machinery & Components
34,"MACHINE TOOLS, PORTABLE",3450,5,Industrial Products & Services,5.1,Machinery & Components
34,CUTTING TOOLS FOR MACHINE TOOLS,3455,5,Industrial Products & Services,5.1,Machinery & Components
