group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL BASIC RESEARCH,AA11,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AA12,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL ADVANCED DEVELOPMENT,AA13,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL ENGINEERING DEVELOPMENT,AA14,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL OPERATIONAL SYSTEMS DEVELOPMENT,AA15,17,Research and Development,17.2,Operational Systems Development
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL MANAGEMENT/SUPPORT,AA16,2,Professional Services,2.3,Management Advisory Services
AA,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL COMMERCIALIZED,AA17,17,Research and Development,17.4,Commericalization
AA,R&D- AGRICULTURE: MARKETING BASIC RESEARCH,AA21,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: MARKETING APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AA22,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: MARKETING ADVANCED DEVELOPMENT,AA23,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: MARKETING ENGINEERING DEVELOPMENT,AA24,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: MARKETING OPERATIONAL SYSTEMS DEVELOPMENT,AA25,17,Research and Development,17.2,Operational Systems Development
AA,R&D- AGRICULTURE: MARKETING MANAGEMENT/SUPPORT,AA26,2,Professional Services,2.4,Marketing and Distribution
AA,R&D- AGRICULTURE: MARKETING COMMERCIALIZED,AA27,17,Research and Development,17.4,Commericalization
AA,R&D- AGRICULTURE: PRODUCTION BASIC RESEARCH,AA31,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: PRODUCTION APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AA32,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: PRODUCTION ADVANCED DEVELOPMENT,AA33,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: PRODUCTION ENGINEERING DEVELOPMENT,AA34,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: PRODUCTION OPERATIONAL SYSTEMS DEVELOPMENT,AA35,17,Research and Development,17.2,Operational Systems Development
AA,R&D- AGRICULTURE: PRODUCTION MANAGEMENT/SUPPORT,AA36,2,Professional Services,2.3,Management Advisory Services
AA,R&D- AGRICULTURE: PRODUCTION COMMERCIALIZED,AA37,17,Research and Development,17.4,Commericalization
AA,R&D- AGRICULTURE: OTHER BASIC RESEARCH,AA91,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: OTHER APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AA92,17,Research and Development,17.3,Technology Base
AA,R&D- AGRICULTURE: OTHER ADVANCED DEVELOPMENT,AA93,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: OTHER ENGINEERING DEVELOPMENT,AA94,17,Research and Development,17.1,Systems Development
AA,R&D- AGRICULTURE: OTHER OPERATIONAL SYSTEMS DEVELOPMENT,AA95,17,Research and Development,17.2,Operational Systems Development
AA,R&D- AGRICULTURE: OTHER MANAGEMENT/SUPPORT,AA96,2,Professional Services,2.3,Management Advisory Services
AA,R&D- AGRICULTURE: OTHER COMMERCIALIZED,AA97,17,Research and Development,17.4,Commericalization
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL BASIC RESEARCH,AB11,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AB12,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL ADVANCED DEVELOPMENT,AB13,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL ENGINEERING DEVELOPMENT,AB14,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL OPERATIONAL SYSTEMS DEVELOPMENT,AB15,17,Research and Development,17.2,Operational Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL MANAGEMENT/SUPPORT,AB16,2,Professional Services,2.3,Management Advisory Services
AB,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL COMMERCIALIZED,AB17,17,Research and Development,17.4,Commericalization
AB,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL BASIC RESEARCH,AB21,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AB22,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL ADVANCED DEVELOPMENT,AB23,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL ENGINEERING DEVELOPMENT,AB24,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL OPERATIONAL SYSTEMS DEVELOPMENT,AB25,17,Research and Development,17.2,Operational Systems Development
AB,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL MANAGEMENT/SUPPORT,AB26,2,Professional Services,2.3,Management Advisory Services
AB,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL COMMERCIALIZED,AB27,17,Research and Development,17.4,Commericalization
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL BASIC RESEARCH,AB31,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AB32,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL ADVANCED DEVELOPMENT,AB33,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL ENGINEERING DEVELOPMENT,AB34,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL OPERATIONAL SYSTEMS DEVELOPMENT,AB35,17,Research and Development,17.2,Operational Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL MANAGEMENT/SUPPORT,AB36,2,Professional Services,2.3,Management Advisory Services
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL COMMERCIALIZED,AB37,17,Research and Development,17.4,Commericalization
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN BASIC RESEARCH,AB41,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AB42,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN ADVANCED DEVELOPMENT,AB43,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN ENGINEERING DEVELOPMENT,AB44,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN OPERATIONAL SYSTEMS DEVELOPMENT,AB45,17,Research and Development,17.2,Operational Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN MANAGEMENT/SUPPORT,AB46,2,Professional Services,2.3,Management Advisory Services
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN COMMERCIALIZED,AB47,17,Research and Development,17.4,Commericalization
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER BASIC RESEARCH,AB91,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AB92,17,Research and Development,17.3,Technology Base
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER ADVANCED DEVELOPMENT,AB93,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER ENGINEERING DEVELOPMENT,AB94,17,Research and Development,17.1,Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER OPERATIONAL SYSTEMS DEVELOPMENT,AB95,17,Research and Development,17.2,Operational Systems Development
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER MANAGEMENT/SUPPORT,AB96,2,Professional Services,2.3,Management Advisory Services
AB,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER COMMERCIALIZED,AB97,17,Research and Development,17.4,Commericalization
AC,R&D- DEFENSE SYSTEM: AIRCRAFT BASIC RESEARCH,AC11,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: AIRCRAFT APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AC12,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: AIRCRAFT ADVANCED DEVELOPMENT,AC13,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: AIRCRAFT ENGINEERING DEVELOPMENT,AC14,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: AIRCRAFT OPERATIONAL SYSTEMS DEVELOPMENT,AC15,17,Research and Development,17.2,Operational Systems Development
AC,R&D- DEFENSE SYSTEM: AIRCRAFT MANAGEMENT/SUPPORT,AC16,2,Professional Services,2.3,Management Advisory Services
AC,R&D- DEFENSE SYSTEM: AIRCRAFT COMMERCIALIZED,AC17,17,Research and Development,17.4,Commericalization
AC,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS BASIC RESEARCH,AC21,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AC22,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS ADVANCED DEVELOPMENT,AC23,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS ENGINEERING DEVELOPMENT,AC24,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS OPERATIONAL SYSTEMS DEVELOPMENT,AC25,17,Research and Development,17.2,Operational Systems Development
AC,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS MANAGEMENT/SUPPORT,AC26,2,Professional Services,2.3,Management Advisory Services
AC,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS COMMERCIALIZED,AC27,17,Research and Development,17.4,Commericalization
AC,R&D- DEFENSE SYSTEM: SHIPS BASIC RESEARCH,AC31,17,Research and Development,17.3,Technology Base
 R, DEFENSE SYSTEM: SHIPS APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AC32,17,Research and Development,17.3,Technology Base
 R, DEFENSE SYSTEM: SHIPS ADVANCED DEVELOPMENT,AC33,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: SHIPS ENGINEERING DEVELOPMENT,AC34,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: SHIPS OPERATIONAL SYSTEMS DEVELOPMENT,AC35,17,Research and Development,17.2,Operational Systems Development
AC,R&D- DEFENSE SYSTEM: SHIPS MANAGEMENT/SUPPORT,AC36,2,Professional Services,2.3,Management Advisory Services
AC,R&D- DEFENSE SYSTEM: SHIPS COMMERCIALIZED,AC37,17,Research and Development,17.4,Commericalization
AC,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE BASIC RESEARCH,AC41,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AC42,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE ADVANCED DEVELOPMENT,AC43,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE ENGINEERING DEVELOPMENT,AC44,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE OPERATIONAL SYSTEMS DEVELOPMENT,AC45,17,Research and Development,17.2,Operational Systems Development
AC,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE MANAGEMENT/SUPPORT,AC46,2,Professional Services,2.3,Management Advisory Services
AC,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE COMMERCIALIZED,AC47,17,Research and Development,17.4,Commericalization
AC,R&D- DEFENSE SYSTEM: WEAPONS BASIC RESEARCH,AC51,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: WEAPONS APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AC52,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: WEAPONS ADVANCED DEVELOPMENT,AC53,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: WEAPONS ENGINEERING DEVELOPMENT,AC54,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: WEAPONS OPERATIONAL SYSTEMS DEVELOPMENT,AC55,17,Research and Development,17.2,Operational Systems Development
AC,R&D- DEFENSE SYSTEM: WEAPONS MANAGEMENT/SUPPORT,AC56,2,Professional Services,2.3,Management Advisory Services
AC,R&D- DEFENSE SYSTEM: WEAPONS COMMERCIALIZED,AC57,17,Research and Development,17.4,Commericalization
AC,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT BASIC RESEARCH,AC61,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AC62,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT ADVANCED DEVELOPMENT,AC63,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT ENGINEERING DEVELOPMENT,AC64,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT OPERATIONAL SYSTEMS DEVELOPMENT,AC65,17,Research and Development,17.2,Operational Systems Development
AC,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT MANAGEMENT/SUPPORT,AC66,2,Professional Services,2.3,Management Advisory Services
AC,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT COMMERCIALIZED,AC67,17,Research and Development,17.4,Commericalization
AC,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS BASIC RESEARCH,AC91,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AC92,17,Research and Development,17.3,Technology Base
AC,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS ADVANCED DEVELOPMENT,AC93,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS ENGINEERING DEVELOPMENT,AC94,17,Research and Development,17.1,Systems Development
AC,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS OPERATIONAL SYSTEMS DEVELOPMENT,AC95,17,Research and Development,17.2,Operational Systems Development
AC,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS MANAGEMENT/SUPPORT,AC96,2,Professional Services,2.3,Management Advisory Services
AC,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS COMMERCIALIZED,AC97,17,Research and Development,17.4,Commericalization
AD,R&D- DEFENSE OTHER: AMMUNITION BASIC RESEARCH,AD11,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: AMMUNITION APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AD12,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: AMMUNITION ADVANCED DEVELOPMENT,AD13,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: AMMUNITION ENGINEERING DEVELOPMENT,AD14,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: AMMUNITION OPERATIONAL SYSTEMS DEVELOPMENT,AD15,17,Research and Development,17.2,Operational Systems Development
AD,R&D- DEFENSE OTHER: AMMUNITION MANAGEMENT/SUPPORT,AD16,2,Professional Services,2.3,Management Advisory Services
AD,R&D- DEFENSE OTHER: AMMUNITION COMMERCIALIZED,AD17,17,Research and Development,17.4,Commericalization
AD,R&D- DEFENSE OTHER: SERVICES BASIC RESEARCH,AD21,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: SERVICES APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AD22,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: SERVICES ADVANCED DEVELOPMENT,AD23,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: SERVICES ENGINEERING DEVELOPMENT,AD24,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: SERVICES OPERATIONAL SYSTEMS DEVELOPMENT,AD25,17,Research and Development,17.2,Operational Systems Development
AD,R&D- DEFENSE OTHER: SERVICES MANAGEMENT/SUPPORT,AD26,2,Professional Services,2.3,Management Advisory Services
AD,R&D- DEFENSE OTHER: SERVICES COMMERCIALIZED,AD27,17,Research and Development,17.4,Commericalization
AD,R&D- DEFENSE OTHER: SUBSISTENCE BASIC RESEARCH,AD31,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: SUBSISTENCE APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AD32,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: SUBSISTENCE ADVANCED DEVELOPMENT,AD33,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: SUBSISTENCE ENGINEERING DEVELOPMENT,AD34,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: SUBSISTENCE OPERATIONAL SYSTEMS DEVELOPMENT,AD35,17,Research and Development,17.2,Operational Systems Development
AD,R&D- DEFENSE OTHER: SUBSISTENCE MANAGEMENT/SUPPORT,AD36,2,Professional Services,2.3,Management Advisory Services
AD,R&D- DEFENSE OTHER: SUBSISTENCE COMMERCIALIZED,AD37,17,Research and Development,17.4,Commericalization
AD,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE BASIC RESEARCH,AD41,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AD42,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE ADVANCED DEVELOPMENT,AD43,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE ENGINEERING DEVELOPMENT,AD44,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE OPERATIONAL SYSTEMS DEVELOPMENT,AD45,17,Research and Development,17.2,Operational Systems Development
AD,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE MANAGEMENT/SUPPORT,AD46,2,Professional Services,2.3,Management Advisory Services
AD,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE COMMERCIALIZED,AD47,17,Research and Development,17.4,Commericalization
AD,R&D- DEFENSE OTHER: FUELS/LUBRICANTS BASIC RESEARCH,AD51,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: FUELS/LUBRICANTS APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AD52,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: FUELS/LUBRICANTS ADVANCED DEVELOPMENT,AD53,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: FUELS/LUBRICANTS ENGINEERING DEVELOPMENT,AD54,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: FUELS/LUBRICANTS OPERATIONAL SYSTEMS DEVELOPMENT,AD55,17,Research and Development,17.2,Operational Systems Development
AD,R&D- DEFENSE OTHER: FUELS/LUBRICANTS MANAGEMENT/SUPPORT,AD56,2,Professional Services,2.3,Management Advisory Services
AD,R&D- DEFENSE OTHER: FUELS/LUBRICANTS COMMERCIALIZED,AD57,17,Research and Development,17.4,Commericalization
AD,R&D- DEFENSE OTHER: CONSTRUCTION BASIC RESEARCH,AD61,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: CONSTRUCTION APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AD62,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: CONSTRUCTION ADVANCED DEVELOPMENT,AD63,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: CONSTRUCTION ENGINEERING DEVELOPMENT,AD64,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: CONSTRUCTION OPERATIONAL SYSTEMS DEVELOPMENT,AD65,17,Research and Development,17.2,Operational Systems Development
AD,R&D- DEFENSE OTHER: CONSTRUCTION MANAGEMENT/SUPPORT,AD66,2,Professional Services,2.3,Management Advisory Services
AD,R&D- DEFENSE OTHER: CONSTRUCTION COMMERCIALIZED,AD67,17,Research and Development,17.4,Commericalization
AD,R&D- DEFENSE OTHER: OTHER BASIC RESEARCH,AD91,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: OTHER APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AD92,17,Research and Development,17.3,Technology Base
AD,R&D- DEFENSE OTHER: OTHER ADVANCED DEVELOPMENT,AD93,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: OTHER ENGINEERING DEVELOPMENT,AD94,17,Research and Development,17.1,Systems Development
AD,R&D- DEFENSE OTHER: OTHER OPERATIONAL SYSTEMS DEVELOPMENT,AD95,17,Research and Development,17.2,Operational Systems Development
AD,R&D- DEFENSE OTHER: OTHER MANAGEMENT/SUPPORT,AD96,2,Professional Services,2.3,Management Advisory Services
AD,R&D- DEFENSE OTHER: OTHER COMMERCIALIZED,AD97,17,Research and Development,17.4,Commericalization
AE,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY BASIC RESEARCH,AE11,17,Research and Development,17.3,Technology Base
AE,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AE12,17,Research and Development,17.3,Technology Base
AE,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY ADVANCED DEVELOPMENT,AE13,17,Research and Development,17.1,Systems Development
AE,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY ENGINEERING DEVELOPMENT,AE14,17,Research and Development,17.1,Systems Development
AE,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY OPERATIONAL SYSTEMS DEVELOPMENT,AE15,17,Research and Development,17.2,Operational Systems Development
AE,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY MANAGEMENT/SUPPORT,AE16,2,Professional Services,2.3,Management Advisory Services
AE,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY COMMERCIALIZED,AE17,17,Research and Development,17.4,Commericalization
AE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT BASIC RESEARCH,AE21,17,Research and Development,17.3,Technology Base
AE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AE22,17,Research and Development,17.3,Technology Base
AE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT ADVANCED DEVELOPMENT,AE23,17,Research and Development,17.1,Systems Development
AE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT ENGINEERING DEVELOPMENT,AE24,17,Research and Development,17.1,Systems Development
AE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT OPERATIONAL SYSTEMS DEVELOPMENT,AE25,17,Research and Development,17.2,Operational Systems Development
AE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT MANAGEMENT/SUPPORT,AE26,2,Professional Services,2.3,Management Advisory Services
AE,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT COMMERCIALIZED,AE27,17,Research and Development,17.4,Commericalization
AE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY BASIC RESEARCH,AE31,17,Research and Development,17.3,Technology Base
AE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AE32,17,Research and Development,17.3,Technology Base
AE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY ADVANCED DEVELOPMENT,AE33,17,Research and Development,17.1,Systems Development
AE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY ENGINEERING DEVELOPMENT,AE34,17,Research and Development,17.1,Systems Development
AE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY OPERATIONAL SYSTEMS DEVELOPMENT,AE35,17,Research and Development,17.2,Operational Systems Development
AE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY MANAGEMENT/SUPPORT,AE36,2,Professional Services,2.3,Management Advisory Services
AE,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY COMMERCIALIZED,AE37,17,Research and Development,17.4,Commericalization
AE,R&D- ECONOMIC GROWTH: OTHER BASIC RESEARCH,AE91,17,Research and Development,17.3,Technology Base
AE,R&D- ECONOMIC GROWTH: OTHER APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AE92,17,Research and Development,17.3,Technology Base
AE,R&D- ECONOMIC GROWTH: OTHER ADVANCED DEVELOPMENT,AE93,17,Research and Development,17.1,Systems Development
AE,R&D- ECONOMIC GROWTH: OTHER ENGINEERING DEVELOPMENT,AE94,17,Research and Development,17.1,Systems Development
AE,R&D- ECONOMIC GROWTH: OTHER OPERATIONAL SYSTEMS DEVELOPMENT,AE95,17,Research and Development,17.2,Operational Systems Development
AE,R&D- ECONOMIC GROWTH: OTHER MANAGEMENT/SUPPORT,AE96,2,Professional Services,2.3,Management Advisory Services
AE,R&D- ECONOMIC GROWTH: OTHER COMMERCIALIZED,AE97,17,Research and Development,17.4,Commericalization
AF,R&D- EDUCATION: EDUCATIONAL BASIC RESEARCH,AF11,17,Research and Development,17.3,Technology Base
AF,R&D- EDUCATION: EDUCATIONAL APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,AF12,17,Research and Development,17.3,Technology Base
AF,R&D- EDUCATION: EDUCATIONAL ADVANCED DEVELOPMENT,AF13,17,Research and Development,17.1,Systems Development
AF,R&D- EDUCATION: EDUCATIONAL ENGINEERING DEVELOPMENT,AF14,17,Research and Development,17.1,Systems Development
